center_id,center_name,phone,fax,address,sido,sigungu,gu,emd,search_key,area_key,sido_norm,area_key_norm,display_name,aliases,floor_info,unit_info,building_hint,arrival_hint,google_place_id,google_primary_photo_ref,google_maps_url
C001,강원영동BP,033-642-8016,033-641-8016,강원 강릉시 용지로 149 (옥천동) 2층,강원도,강릉시,,옥천동,강원영동BP 강원 강릉시 용지로 149 (옥천동) 2층,강원도 강릉시 옥천동,강원도,강원도 강릉시 옥천동,강원영동BP (강릉시 옥천동),,2층,,강릉시 용지,강릉시 용지 2층,,,
C002,동해BP,033-532-0101,033-532-0102,강원 동해시 발한로 125 (발한동) 1층,강원도,동해시,,발한동,동해BP 강원 동해시 발한로 125 (발한동) 1층,강원도 동해시 발한동,강원도,강원도 동해시 발한동,동해BP (동해시 발한동),,1층,,동해시 발한,동해시 발한 1층,,,
C003,춘천우리BP,033-241-5010,033-242-7010,강원 춘천시 춘주로92번길 30 (온의동) 1층,강원도,춘천시,,온의동,춘천우리BP 강원 춘천시 춘주로92번길 30 (온의동) 1층,강원도 춘천시 온의동,강원도,강원도 춘천시 온의동,춘천우리BP (춘천시 온의동),,1층,,춘천시 춘주,춘천시 춘주 1층,,,
C004,원주BP,033-762-2017,033-762-2018,강원특별자치도 원주시 단관길 197 (관설동) 1층,강원특별자치도,원주시,,관설동,원주BP 강원특별자치도 원주시 단관길 197 (관설동) 1층,강원특별자치도 원주시 관설동,강원도,강원도 원주시 관설동,원주BP (원주시 관설동),,1층,,원주시 단관,원주시 단관 1층,,,
C005,홍천BP,033-434-3358,050-5333-3358,강원 홍천군 홍천읍 꽃뫼로1길 3-1 1층,강원도,홍천군,,홍천읍,홍천BP 강원 홍천군 홍천읍 꽃뫼로1길 3-1 1층,강원도 홍천군 홍천읍,강원도,강원도 홍천군 홍천읍,홍천BP (홍천군 홍천읍),,1층,,홍천읍 꽃뫼,홍천읍 꽃뫼 1층,,,
C006,강릉BP,033-642-5055,033-642-4055,강원 강릉시 토성로 176 (임당동) 3층,강원도,강릉시,,임당동,강릉BP 강원 강릉시 토성로 176 (임당동) 3층,강원도 강릉시 임당동,강원도,강원도 강릉시 임당동,강릉BP (강릉시 임당동),,3층,,강릉시 토성,강릉시 토성 3층,,,
C007,강원BP,033-763-3055,033-763-3053,강원 원주시 행구로 21 (개운동) 다온빌딩 201호,강원도,원주시,,개운동,강원BP 강원 원주시 행구로 21 (개운동) 다온빌딩 201호,강원도 원주시 개운동,강원도,강원도 원주시 개운동,강원BP (원주시 개운동),,,201호,,201호,,,
C008,본사,031-267-9647,031-267-9699,경기 수원시 영통구 센트럴타운로 114-8 (이의동) 3층,경기도,수원시,영통구,이의동,본사 경기 수원시 영통구 센트럴타운로 114-8 (이의동) 3층,경기도 수원시 이의동,경기도,경기도 수원시 영통구 이의동,본사 (수원시 영통구 이의동),,3층,,영통구 센트럴타운,영통구 센트럴타운 3층,,,
C009,광명빅BP,02-6953-8014,02-6956-8014,경기 광명시 오리로 992 (광명동) 광명리더스 빌딩 901호,경기도,광명시,,광명동,광명빅BP 경기 광명시 오리로 992 (광명동) 광명리더스 빌딩 901호,경기도 광명시 광명동,경기도,경기도 광명시 광명동,광명빅BP (광명시 광명동),,,901호,,901호,,,
C010,부천역BP,032-323-3055,032-326-3055,경기 부천시 부천로39번길 8 (심곡동) 6층(동아빌딩),경기도,부천시,,심곡동,부천역BP 경기 부천시 부천로39번길 8 (심곡동) 6층(동아빌딩),경기도 부천시 심곡동,경기도,경기도 부천시 심곡동,부천역BP (부천시 심곡동),,6층,,부천시 부천,부천시 부천 6층,,,
C011,안산BP,031-414-0163,031-413-0163,경기 안산시 단원구 광덕4로 112 (고잔동) 206호(슈마프라자),경기도,안산시,단원구,고잔동,안산BP 경기 안산시 단원구 광덕4로 112 (고잔동) 206호(슈마프라자),경기도 안산시 고잔동,경기도,경기도 안산시 단원구 고잔동,안산BP (안산시 단원구 고잔동),,,206호,,206호,,,
C012,가온 오산역BP,031-375-5016,031-377-6018,경기 오산시 오산로 198 (원동) 우정빌딩 102호,경기도,오산시,,원동,가온오산역BP 경기 오산시 오산로 198 (원동) 우정빌딩 102호,경기도 오산시 원동,경기도,경기도 오산시 원동,가온 오산역BP (오산시 원동),,,102호,,102호,,,
C013,의정부나눔BP,031-875-2016,031-879-2016,경기 의정부시 둔야로 20 (의정부동) 404호,경기도,의정부시,,의정부동,의정부나눔BP 경기 의정부시 둔야로 20 (의정부동) 404호,경기도 의정부시 의정부동,경기도,경기도 의정부시 의정부동,의정부나눔BP (의정부시 의정부동),,,404호,,404호,,,
C014,구리행복,010-6481-9774,031-557-0110,경기도 구리시 동구릉로 73 상가 2호,경기도,구리시,,,구리행복 경기도 구리시 동구릉로 73 상가 2호,경기도 구리시,경기도,경기도 구리시,구리행복 (구리시),,,2호,,2호,,,
C015,영통BP,031-202-2070,031-204-2070,경기 수원시 영통구 반달로7번길 30 (영통동) 르네상스시티프라자 5층 530호,경기도,수원시,영통구,영통동,영통BP 경기 수원시 영통구 반달로7번길 30 (영통동) 르네상스시티프라자 5층 530호,경기도 수원시 영통동,경기도,경기도 수원시 영통구 영통동,영통BP (수원시 영통구 영통동),,5층,530호,영통구 반달,영통구 반달 5층 530호,,,
C016,고양일산BP,031-904-8610,031-904-8611,경기 고양시 일산동구 중앙로 1200 (마두동) 삼희골드프라자 205호,경기도,고양시,일산동구,마두동,고양일산BP 경기 고양시 일산동구 중앙로 1200 (마두동) 삼희골드프라자 205호,경기도 고양시 마두동,경기도,경기도 고양시 일산동구 마두동,고양일산BP (고양시 일산동구 마두동),,,205호,,205호,,,
C017,안양BP,031-442-2508,031-445-2503,안양시 동안구 엘에스로92 12동 2층 206호,안양시,안양시,동안구,12동,안양BP 안양시 동안구 엘에스로92 12동 2층 206호,안양시 동안구 12동,경기도,경기도 안양시 동안구 12동,안양BP (안양시 동안구 12동),,2층,206호,동안구 엘에스,동안구 엘에스 2층 206호,,,
